date;location;product;balance;value
2023-05-20;841;51957;3;17.19
2023-05-20;841;35772;3;35.76
2023-05-20;841;1439;3;45.3
2023-05-20;841;18064;60;135
2023-05-20;841;9607;3;24
2023-05-20;841;5345;3;14.97
2023-05-20;841;36857;4;6.2
2023-05-20;841;58701;1;42.8
2023-05-20;841;20635;3;69.93
2023-05-20;841;31330;2;103
2023-06-30;841;15590;1;31.08
2023-06-30;841;35416;1;5.79
2023-06-30;841;21141;1;25.63
2023-06-30;841;48812;1;5.98
2023-06-30;841;48813;3;14.97
2023-06-30;841;55917;1;9
2023-06-30;841;62782;3;21.03
2023-06-30;841;15589;4;97.2
2023-06-30;841;51957;3;17.13
2023-06-30;841;35772;3;35.76
2023-06-30;841;1439;3;45.3
2023-06-30;841;18064;41;92.25
2023-06-30;841;5345;8;39.92
2023-06-30;841;36857;0;0
2023-06-30;841;9607;5;40
2023-06-30;841;58701;1;42.86
2023-06-30;841;31330;2;103
2023-06-30;841;20635;3;70.11
2023-07-03;1314;57912;7;81.27
2023-07-03;1314;15590;1;40.43
2023-07-03;1314;62782;1;13.61
