location,product,product_name,z_value,review_days,objective,service_level,actual_service_level,service_level_delta_vs_actual,avg_inventory_value,actual_avg_inventory_value,inventory_value_delta_vs_actual,total_ordering_cost,total_lost_sales_units,total_orders,total_forecast_units,total_actual_units,horizon_days,series_days
1314,15590,ANTUX GTS 20ML,0.84,5,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,0.84,7,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,0.84,10,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,0.84,14,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.04,5,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.04,7,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.04,10,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.04,14,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.28,5,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.28,7,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.28,10,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.28,14,82.1489,1.0,1.0,0.0,81.2317,84.9111,-3.6794,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.65,5,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.65,7,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.65,10,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,1.65,14,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
